no,time,count,message size,span(ns),max(ns),min(ns),avg(ns)
560,2023.03.06 17:04:51,1024,200,39677027,262388,765,38747
561,2023.03.06 17:04:53,1024,200,2779935,556524,691,2714
562,2023.03.06 17:04:56,1024,200,1954879,22196,696,1909
563,2023.03.06 17:04:58,1024,200,1583168,46011,702,1546
564,2023.03.06 17:05:00,1024,200,3402027,61733,649,3322
565,2023.03.06 17:05:03,1024,200,52151659,311410,733,50929
566,2023.03.06 17:05:05,1024,200,6406618,147922,656,6256
567,2023.03.06 17:05:07,1024,200,58603459,4111293,726,57229
568,2023.03.06 17:05:10,1024,200,15446839,174919,751,15084
569,2023.03.06 17:05:12,1024,200,8970996,137893,680,8760
570,2023.03.06 17:05:14,1024,200,24793347,185449,709,24212
571,2023.03.06 17:05:17,1024,200,191612605,778516,732,187121
572,2023.03.06 17:05:19,1024,200,1959962,157121,689,1914
573,2023.03.06 17:05:21,1024,200,2301910,51850,670,2247
574,2023.03.06 17:05:24,1024,200,1688570,19107,713,1648
575,2023.03.06 17:05:26,1024,200,12347965,155008,704,12058
576,2023.03.06 17:05:28,1024,200,2110069,548587,676,2060
577,2023.03.06 17:05:31,1024,200,29260680,262427,664,28574
578,2023.03.06 17:05:33,1024,200,2829509,67109,719,2763
579,2023.03.06 17:05:35,1024,200,2532646,31712,667,2473
580,2023.03.06 17:05:38,1024,200,1576597,22361,708,1539
581,2023.03.06 17:05:40,1024,200,1937536,540908,693,1892
582,2023.03.06 17:05:42,1024,200,23014261,437908,711,22474
583,2023.03.06 17:05:45,1024,200,8816250,161844,701,8609
584,2023.03.06 17:05:47,1024,200,1892429,19774,856,1848
585,2023.03.06 17:05:49,1024,200,64282021,481453,763,62775
586,2023.03.06 17:05:52,1024,200,1938101,23743,705,1892
587,2023.03.06 17:05:54,1024,200,1439171,20866,655,1405
588,2023.03.06 17:05:56,1024,200,7538288,588479,693,7361
589,2023.03.06 17:05:59,1024,200,3909307,230753,868,3817
590,2023.03.06 17:06:01,1024,200,32788762,259157,677,32020
591,2023.03.06 17:06:03,1024,200,11379842,197480,718,11113
592,2023.03.06 17:06:06,1024,200,2029265,539436,674,1981
593,2023.03.06 17:06:08,1024,200,25098444,242540,965,24510
594,2023.03.06 17:06:10,1024,200,39884404,271151,677,38949
595,2023.03.06 17:06:13,1024,200,1970275,28588,717,1924
596,2023.03.06 17:06:15,1024,200,3280066,53889,860,3203
597,2023.03.06 17:06:17,1024,200,17704532,115918,702,17289
598,2023.03.06 17:06:20,1024,200,2627218,257475,647,2565
599,2023.03.06 17:06:22,1024,200,4695802,86875,708,4585
600,2023.03.06 17:06:24,1024,200,1642311,25975,645,1603
601,2023.03.06 17:06:27,1024,200,1698126,21147,619,1658
602,2023.03.06 17:06:29,1024,200,3673025,335857,705,3586
603,2023.03.06 17:06:31,1024,200,2331900,26617,810,2277
604,2023.03.06 17:06:34,1024,200,2871995,45094,736,2804
605,2023.03.06 17:06:36,1024,200,171868630,740454,966,167840
606,2023.03.06 17:06:39,1024,200,149874328,697234,825,146361
607,2023.03.06 17:06:41,1024,200,2264245,551783,773,2211
608,2023.03.06 17:06:43,1024,200,1520957318,2142827,832049,1485309
609,2023.03.06 17:06:46,1024,200,39832258,167625,734,38898
610,2023.03.06 17:06:48,1024,200,8154756,182760,707,7963
611,2023.03.06 17:06:50,1024,200,128069679,584971,717,125068
612,2023.03.06 17:06:53,1024,200,11200206,140726,668,10937
613,2023.03.06 17:06:55,1024,200,29317019,198261,942,28629
614,2023.03.06 17:06:57,1024,200,1799454,21896,774,1757
615,2023.03.06 17:07:00,1024,200,182236079,674142,669,177964
616,2023.03.06 17:07:02,1024,200,2542908164,3442055,851,2483308
617,2023.03.06 17:07:04,1024,200,2871526,539744,707,2804
618,2023.03.06 17:07:07,1024,200,4146814,91543,692,4049
619,2023.03.06 17:07:09,1024,200,17590592,190552,723,17178
620,2023.03.06 17:07:11,1024,200,3842555,55577,711,3752
621,2023.03.06 17:07:14,1024,200,126273381,599379,696,123313
622,2023.03.06 17:07:16,1024,200,684065237,1023128,981,668032
623,2023.03.06 17:07:18,1024,200,1559330,17863,710,1522
624,2023.03.06 17:07:21,1024,200,4311391,65593,835,4210
625,2023.03.06 17:07:23,1024,200,7236774,554430,723,7067
626,2023.03.06 17:07:25,1024,200,5698522,104191,729,5564
627,2023.03.06 17:07:28,1024,200,51234495,1120401,699,50033
628,2023.03.06 17:07:30,1024,200,1738843,22231,676,1698
629,2023.03.06 17:07:32,1024,200,417979388,1088774,819,408182
630,2023.03.06 17:07:35,1024,200,2251382,242639,721,2198
631,2023.03.06 17:07:37,1024,200,106106569,549051,810,103619
632,2023.03.06 17:07:39,1024,200,1559042,23413,687,1522
633,2023.03.06 17:07:42,1024,200,14806145,2569550,678,14459
634,2023.03.06 17:07:44,1024,200,85093542,431705,656,83099
635,2023.03.06 17:07:46,1024,200,13275129,231875,709,12963
636,2023.03.06 17:07:49,1024,200,5767665,79059,778,5632
637,2023.03.06 17:07:51,1024,200,6638086,256011,686,6482
638,2023.03.06 17:07:53,1024,200,173887629,658862,715,169812
639,2023.03.06 17:07:56,1024,200,1831437,14442,742,1788
640,2023.03.06 17:07:58,1024,200,15846835,235039,728,15475
641,2023.03.06 17:08:01,1024,200,17939015,232469,725,17518
642,2023.03.06 17:08:03,1024,200,26620334,251513,784,25996
643,2023.03.06 17:08:05,1024,200,37238376,395954,717,36365
644,2023.03.06 17:08:08,1024,200,21367642,262572,730,20866
645,2023.03.06 17:08:10,1024,200,34732703,264471,701,33918
646,2023.03.06 17:08:12,1024,200,14474729,270067,680,14135
647,2023.03.06 17:08:15,1024,200,1810864,83184,701,1768
648,2023.03.06 17:08:17,1024,200,1745958,20992,661,1705
649,2023.03.06 17:08:19,1024,200,1895616890,2583052,1109370,1851188
650,2023.03.06 17:08:21,1024,200,70472279,250608,804,68820
651,2023.03.06 17:08:24,1024,200,3264726,131775,647,3188
652,2023.03.06 17:08:26,1024,200,1928336,29574,701,1883
653,2023.03.06 17:08:29,1024,200,1646792,15024,726,1608
654,2023.03.06 17:08:31,1024,200,5398122,93423,824,5271
655,2023.03.06 17:08:33,1024,200,2407615,58144,704,2351
656,2023.03.06 17:08:36,1024,200,3284774,54892,841,3207
657,2023.03.06 17:08:38,1024,200,70922210,515374,652,69259
658,2023.03.06 17:08:40,1024,200,2177265,29151,712,2126
659,2023.03.06 17:08:43,1024,200,1710860,29242,799,1670
660,2023.03.06 17:08:45,1024,200,2276651,539961,679,2223
661,2023.03.06 17:08:47,1024,200,460366582,1052071,688,449576
662,2023.03.06 17:08:50,1024,200,1692048,24742,668,1652
663,2023.03.06 17:08:52,1024,200,89043951,521656,705,86956
664,2023.03.06 17:08:54,1024,200,345442459,869181,732,337346
665,2023.03.06 17:08:57,1024,200,34346325,255200,696,33541
666,2023.03.06 17:08:59,1024,200,4869377,545486,730,4755
667,2023.03.06 17:09:01,1024,200,56137084,363939,710,54821
668,2023.03.06 17:09:04,1024,200,2796127652,4301290,735,2730593
669,2023.03.06 17:09:06,1024,200,5120632,31666,704,5000
670,2023.03.06 17:09:08,1024,200,8249263,280896,708,8055
671,2023.03.06 17:09:11,1024,200,4988982,125884,714,4872
672,2023.03.06 17:09:13,1024,200,1752190,20188,693,1711
673,2023.03.06 17:09:15,1024,200,3334673,66041,688,3256
674,2023.03.06 17:09:18,1024,200,26719735,206087,688,26093
675,2023.03.06 17:09:20,1024,200,644556135,1404658,831,629449
676,2023.03.06 17:09:22,1024,200,28697979,251058,744,28025
677,2023.03.06 17:09:25,1024,200,2044043,137739,653,1996
678,2023.03.06 17:09:27,1024,200,1139332945,2098163,263274,1112629
679,2023.03.06 17:09:29,1024,200,1516158,12810,706,1480
680,2023.03.06 17:09:32,1024,200,374540516,2873624,670,365762
681,2023.03.06 17:09:34,1024,200,2107266,26018,603,2057
682,2023.03.06 17:09:36,1024,200,1956842,23283,754,1910
683,2023.03.06 17:09:39,1024,200,11893376,141362,736,11614
684,2023.03.06 17:09:41,1024,200,14571708,361461,688,14230
685,2023.03.06 17:09:43,1024,200,8992297,104768,725,8781
686,2023.03.06 17:09:46,1024,200,28806408,273739,732,28131
687,2023.03.06 17:09:48,1024,200,7526931,566512,722,7350
688,2023.03.06 17:09:50,1024,200,26258956,237716,732,25643
689,2023.03.06 17:09:53,1024,200,2910972,381272,684,2842
690,2023.03.06 17:09:55,1024,200,20925862,218051,648,20435
691,2023.03.06 17:09:57,1024,200,3587300,27800,672,3503
692,2023.03.06 17:10:00,1024,200,1500851,21690,656,1465
693,2023.03.06 17:10:02,1024,200,24340050,215243,729,23769
694,2023.03.06 17:10:04,1024,200,1711472,17686,738,1671
695,2023.03.06 17:10:07,1024,200,1929647,191302,690,1884
696,2023.03.06 17:10:09,1024,200,1654904851,2927621,827,1616118
697,2023.03.06 17:10:11,1024,200,22734250,244906,860,22201
